timestamp,machine_id,signal_name,signal_value,event_type,is_failure
2026-06-14T19:06:41,pasteuriser_01,PSTR1_PROD_TEMP_F,166.06,reading,0
2026-06-14T19:06:41,pasteuriser_01,PSTR1_HOLD_PRESS_PSI,43.17,reading,0
2026-06-14T19:06:41,mixer_01,MIXR1_AGIT_VIB,3.01,reading,0
2026-06-14T19:06:41,mixer_02,MIXR2_AGIT_VIB,1.33,reading,0
2026-06-14T19:06:41,filler_01,FILR1_NET_WT_G,499.97,reading,0
2026-06-14T19:06:41,filler_02,FILR2_NET_WT_G,500.29,reading,0
2026-06-14T19:06:41,packer_01,PACK1_LINE_SPD,123.74,reading,0
2026-06-14T19:06:41,chiller_01,CHIL1_ROOM_TEMP_F,37.93,reading,0
2026-06-14T20:06:41,pasteuriser_01,PSTR1_PROD_TEMP_F,166.13,reading,0
2026-06-14T20:06:41,pasteuriser_01,PSTR1_HOLD_PRESS_PSI,42.96,reading,0
2026-06-14T20:06:41,mixer_01,MIXR1_AGIT_VIB,2.57,reading,0
2026-06-14T20:06:41,mixer_02,MIXR2_AGIT_VIB,1.48,reading,0
2026-06-14T20:06:41,filler_01,FILR1_NET_WT_G,501.35,reading,0
2026-06-14T20:06:41,filler_02,FILR2_NET_WT_G,500.38,reading,0
2026-06-14T20:06:41,packer_01,PACK1_LINE_SPD,121.64,reading,0
2026-06-14T20:06:41,chiller_01,CHIL1_ROOM_TEMP_F,37.51,reading,0
2026-06-14T21:06:41,pasteuriser_01,PSTR1_PROD_TEMP_F,165.39,reading,0
2026-06-14T21:06:41,pasteuriser_01,PSTR1_HOLD_PRESS_PSI,44.07,reading,0
2026-06-14T21:06:41,mixer_01,MIXR1_AGIT_VIB,2.44,reading,0
2026-06-14T21:06:41,mixer_02,MIXR2_AGIT_VIB,1.67,reading,0
2026-06-14T21:06:41,filler_01,FILR1_NET_WT_G,502.34,reading,0
2026-06-14T21:06:41,filler_02,FILR2_NET_WT_G,499.9,reading,0
2026-06-14T21:06:41,packer_01,PACK1_LINE_SPD,118.83,reading,0
2026-06-14T21:06:41,chiller_01,CHIL1_ROOM_TEMP_F,37.79,reading,0
2026-06-14T22:06:41,pasteuriser_01,PSTR1_PROD_TEMP_F,165.22,reading,0
2026-06-14T22:06:41,pasteuriser_01,PSTR1_HOLD_PRESS_PSI,44.6,reading,0
2026-06-14T22:06:41,mixer_01,MIXR1_AGIT_VIB,2.46,reading,0
2026-06-14T22:06:41,mixer_02,MIXR2_AGIT_VIB,1.71,reading,0
2026-06-14T22:06:41,filler_01,FILR1_NET_WT_G,502.38,reading,0
2026-06-14T22:06:41,filler_02,FILR2_NET_WT_G,499.75,reading,0
2026-06-14T22:06:41,packer_01,PACK1_LINE_SPD,120.17,reading,0
2026-06-14T22:06:41,chiller_01,CHIL1_ROOM_TEMP_F,37.96,reading,0
2026-06-14T23:06:41,pasteuriser_01,PSTR1_PROD_TEMP_F,164.65,reading,0
2026-06-14T23:06:41,pasteuriser_01,PSTR1_HOLD_PRESS_PSI,45.45,reading,0
2026-06-14T23:06:41,mixer_01,MIXR1_AGIT_VIB,2.41,reading,0
2026-06-14T23:06:41,mixer_02,MIXR2_AGIT_VIB,1.7,reading,0
2026-06-14T23:06:41,filler_01,FILR1_NET_WT_G,501.49,reading,0
2026-06-14T23:06:41,filler_02,FILR2_NET_WT_G,499.74,reading,0
2026-06-14T23:06:41,packer_01,PACK1_LINE_SPD,118.92,reading,0
2026-06-14T23:06:41,chiller_01,CHIL1_ROOM_TEMP_F,37.89,reading,0
2026-06-15T00:06:41,pasteuriser_01,PSTR1_PROD_TEMP_F,164.48,reading,0
2026-06-15T00:06:41,pasteuriser_01,PSTR1_HOLD_PRESS_PSI,45.71,reading,0
2026-06-15T00:06:41,mixer_01,MIXR1_AGIT_VIB,2.55,reading,0
2026-06-15T00:06:41,mixer_02,MIXR2_AGIT_VIB,1.81,reading,0
2026-06-15T00:06:41,filler_01,FILR1_NET_WT_G,500.2,reading,0
2026-06-15T00:06:41,filler_02,FILR2_NET_WT_G,499.8,reading,0
2026-06-15T00:06:41,packer_01,PACK1_LINE_SPD,117.32,reading,0
2026-06-15T00:06:41,chiller_01,CHIL1_ROOM_TEMP_F,37.83,reading,0
2026-06-15T01:06:41,pasteuriser_01,PSTR1_PROD_TEMP_F,164.4,reading,0
2026-06-15T01:06:41,pasteuriser_01,PSTR1_HOLD_PRESS_PSI,46.44,reading,0
2026-06-15T01:06:41,mixer_01,MIXR1_AGIT_VIB,2.49,reading,0
2026-06-15T01:06:41,mixer_02,MIXR2_AGIT_VIB,1.88,reading,0
2026-06-15T01:06:41,filler_01,FILR1_NET_WT_G,498.61,reading,0
2026-06-15T01:06:41,filler_02,FILR2_NET_WT_G,500.16,reading,0
2026-06-15T01:06:41,packer_01,PACK1_LINE_SPD,115.99,reading,0
2026-06-15T01:06:41,chiller_01,CHIL1_ROOM_TEMP_F,38.07,reading,0
2026-06-15T02:06:41,pasteuriser_01,PSTR1_PROD_TEMP_F,163.88,reading,0
2026-06-15T02:06:41,pasteuriser_01,PSTR1_HOLD_PRESS_PSI,47.07,reading,0
2026-06-15T02:06:41,mixer_01,MIXR1_AGIT_VIB,2.36,reading,0
2026-06-15T02:06:41,mixer_02,MIXR2_AGIT_VIB,1.91,reading,0
2026-06-15T02:06:41,filler_01,FILR1_NET_WT_G,498.03,reading,0
2026-06-15T02:06:41,filler_02,FILR2_NET_WT_G,501.09,reading,0
2026-06-15T02:06:41,packer_01,PACK1_LINE_SPD,116.99,reading,0
2026-06-15T02:06:41,chiller_01,CHIL1_ROOM_TEMP_F,37.74,reading,0
2026-06-15T03:06:41,pasteuriser_01,PSTR1_PROD_TEMP_F,164.56,reading,0
2026-06-15T03:06:41,pasteuriser_01,PSTR1_HOLD_PRESS_PSI,47.54,reading,0
2026-06-15T03:06:41,mixer_01,MIXR1_AGIT_VIB,2.43,reading,0
2026-06-15T03:06:41,mixer_02,MIXR2_AGIT_VIB,2.04,reading,0
2026-06-15T03:06:41,filler_01,FILR1_NET_WT_G,498.78,reading,0
2026-06-15T03:06:41,filler_02,FILR2_NET_WT_G,501.7,reading,0
2026-06-15T03:06:41,packer_01,PACK1_LINE_SPD,114.19,reading,0
2026-06-15T03:06:41,chiller_01,CHIL1_ROOM_TEMP_F,37.73,reading,0
2026-06-15T04:06:41,pasteuriser_01,PSTR1_PROD_TEMP_F,164.01,reading,0
2026-06-15T04:06:41,pasteuriser_01,PSTR1_HOLD_PRESS_PSI,47.92,reading,0
2026-06-15T04:06:41,mixer_01,MIXR1_AGIT_VIB,2.05,reading,0
2026-06-15T04:06:41,mixer_02,MIXR2_AGIT_VIB,2.14,reading,0
2026-06-15T04:06:41,filler_01,FILR1_NET_WT_G,499.64,reading,0
2026-06-15T04:06:41,filler_02,FILR2_NET_WT_G,501.25,reading,0
2026-06-15T04:06:41,packer_01,PACK1_LINE_SPD,114.09,reading,0
2026-06-15T04:06:41,chiller_01,CHIL1_ROOM_TEMP_F,38.38,reading,0
2026-06-15T05:06:41,pasteuriser_01,PSTR1_PROD_TEMP_F,165.1,reading,0
2026-06-15T05:06:41,pasteuriser_01,PSTR1_HOLD_PRESS_PSI,47.76,reading,0
2026-06-15T05:06:41,mixer_01,MIXR1_AGIT_VIB,2.12,reading,0
2026-06-15T05:06:41,mixer_02,MIXR2_AGIT_VIB,1.95,reading,0
2026-06-15T05:06:41,filler_01,FILR1_NET_WT_G,499.1,reading,0
